target_k,n_freeze,n_clusters_actual,pre_median_sim,post_median_sim,post_max_sim,frozen_survival_rate
5,0,5,0.3151,0.1811,0.3682,1.0
5,2,5,0.3151,0.2057,0.7471,1.0
5,4,5,0.3151,0.3256,0.8072,1.0
10,0,10,0.3151,0.2735,0.6171,1.0
10,2,10,0.3151,0.2503,0.7149,1.0
10,4,10,0.3151,0.3068,0.8072,1.0
10,6,10,0.3151,0.3252,0.8072,1.0
10,8,10,0.3151,0.25,0.8072,1.0
10,10,11,0.3151,0.3068,0.8928,1.0
20,0,20,0.3151,0.3278,0.7806,1.0
20,2,20,0.3151,0.3278,0.7806,1.0
20,4,20,0.3151,0.3369,0.8106,1.0
20,6,20,0.3151,0.3636,0.8407,1.0
20,8,20,0.3151,0.3203,0.8928,1.0
20,10,20,0.3151,0.3256,0.8928,1.0
20,15,20,0.3151,0.3368,0.8928,1.0
20,20,21,0.3151,0.2945,0.8928,1.0
27,0,27,0.3151,0.3654,0.8594,1.0
27,2,27,0.3151,0.3654,0.8594,1.0
27,4,27,0.3151,0.3654,0.8594,1.0
27,6,27,0.3151,0.3843,0.9076,1.0
27,8,27,0.3151,0.3453,0.9076,1.0
27,10,27,0.3151,0.3453,0.8928,1.0
27,15,27,0.3151,0.3382,0.8928,1.0
27,20,27,0.3151,0.3185,0.8928,1.0
40,0,40,0.3151,0.3479,0.8928,1.0
40,2,40,0.3151,0.3479,0.8928,1.0
40,4,40,0.3151,0.3479,0.8928,1.0
40,6,40,0.3151,0.3679,0.9076,1.0
40,8,40,0.3151,0.3629,0.9076,1.0
40,10,40,0.3151,0.3629,0.9076,1.0
40,15,40,0.3151,0.3629,0.9076,1.0
40,20,40,0.3151,0.3629,0.9076,1.0
60,0,60,0.3151,0.3539,0.9466,1.0
60,2,60,0.3151,0.3539,0.9466,1.0
60,4,60,0.3151,0.3539,0.9466,1.0
60,6,60,0.3151,0.3539,0.9466,1.0
60,8,60,0.3151,0.3539,0.9466,1.0
60,10,60,0.3151,0.3539,0.9466,1.0
60,15,60,0.3151,0.3539,0.9466,1.0
60,20,60,0.3151,0.3539,0.9466,1.0
80,0,80,0.3151,0.3151,0.9891,1.0
80,2,80,0.3151,0.3151,0.9891,1.0
80,4,80,0.3151,0.3151,0.9891,1.0
80,6,80,0.3151,0.3151,0.9891,1.0
80,8,80,0.3151,0.3151,0.9891,1.0
80,10,80,0.3151,0.3151,0.9891,1.0
80,15,80,0.3151,0.3151,0.9891,1.0
80,20,80,0.3151,0.3151,0.9891,1.0
